dataset,model,method,lambda_,shap_type,group,feature,mean_abs_shap,normalised_share,is_sensitive,is_proxy,sample_n,random_state
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,YearsInCurrentRole,0.008783824565493684,0.0031131326775587905,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,YearsSinceLastPromotion,0.054341438501317535,0.019259504408657882,False,False,116,42
ibm_hr_attrition,GB,identity_preprocessing,0.0,demographic,Female,YearsWithCurrManager,0.10522045338079117,0.03729186863022029,False,False,116,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,Age,0.1918579560004857,0.06958041733558272,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,BusinessTravel,0.030865554278599792,0.011193896738864546,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,DailyRate,0.05883914767116176,0.02133897668866571,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,Department,0.0,0.0,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,DistanceFromHome,0.11857065686680704,0.04300158284040994,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,Education,0.0017268489698757739,0.0006262699473311041,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,EducationField,0.032415641267395816,0.011756061070411012,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,EmployeeCount,0.0,0.0,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,EmployeeNumber,0.03994117193618319,0.014485317524100256,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,EnvironmentSatisfaction,0.11621878023116755,0.04214863641462196,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,HourlyRate,0.039593198586581835,0.014359119312716924,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,JobInvolvement,0.042246924721795795,0.015321536383302534,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,JobLevel,0.019899351118073803,0.007216824281706434,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,JobRole,0.19104588986416926,0.06928590830480347,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,JobSatisfaction,0.09276499818164825,0.03364273977565631,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,MaritalStatus,0.04220457832126259,0.015306178770393574,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,MonthlyIncome,0.16459335741245285,0.059692465916785876,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,MonthlyRate,0.03724051598454157,0.013505880590066757,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,NumCompaniesWorked,0.2101045891775555,0.07619785649680569,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,Over18,0.0,0.0,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,OverTime,0.44252994822998926,0.16049070428571918,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,PercentSalaryHike,0.01798029732853276,0.006520848121273665,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,PerformanceRating,0.0,0.0,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,RelationshipSatisfaction,0.12777862488343603,0.04634100264225606,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,StandardHours,0.0,0.0,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,StockOptionLevel,0.30313420820481274,0.10993656533862427,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,TotalWorkingYears,0.1049201113350094,0.03805098983524705,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,TrainingTimesLastYear,0.05645628299078223,0.020474791942974954,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,WorkLifeBalance,0.07368036905487148,0.026721387713860217,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,YearsAtCompany,0.040748073803710094,0.014777953648563297,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,YearsInCurrentRole,0.009103991878332657,0.0033017111592314593,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,YearsSinceLastPromotion,0.04397847957810528,0.015949512997111368,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,global,all,YearsWithCurrManager,0.10691608963148377,0.038774863922913766,False,False,294,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,Age,0.18326545767485905,0.06789269349985126,False,False,178,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,BusinessTravel,0.033921880120271246,0.012566731555218836,False,False,178,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,DailyRate,0.06235607786902686,0.023100491147249443,False,False,178,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,Department,0.0,0.0,False,False,178,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,DistanceFromHome,0.11977992125695476,0.04437378207824893,False,False,178,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,Education,0.0018761750706156692,0.0006950495780135529,False,False,178,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,EducationField,0.03744281623543304,0.013871100853896716,False,False,178,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,EmployeeCount,0.0,0.0,False,False,178,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,EmployeeNumber,0.03882510959423942,0.014383186549297218,False,False,178,42
ibm_hr_attrition,GB,di_remover,0.05,demographic,Male,EnvironmentSatisfaction,0.11761206351456471,0.043570675463818126,False,False,178,42
