dataset,accuracy_metric,fairness_metric,base_model,method,lambda_,seed_mean_accuracy,seed_mean_fairness,on_pareto_frontier
acs_income,accuracy,equal_opportunity,RF,smote_nc,0.3,0.8126670584928322,0.06594287649496114,False
acs_income,accuracy,equal_opportunity,RF,smote_nc,1.0,0.8126670584928322,0.06594287649496114,False
acs_income,accuracy,equal_opportunity,RF,smote_nc,3.0,0.8126670584928322,0.06594287649496114,False
acs_income,accuracy,equal_opportunity,RF,smote_nc,10.0,0.8126670584928322,0.06594287649496114,False
acs_income,accuracy,macro_dp,RF,adv_debias,0.0,0.8076316663685381,0.3510309423204874,False
acs_income,accuracy,macro_dp,RF,adv_debias,0.05,0.8078130989190708,0.3601264448248358,False
acs_income,accuracy,macro_dp,RF,adv_debias,0.1,0.8073365190504178,0.3485208926891614,False
acs_income,accuracy,macro_dp,RF,adv_debias,0.3,0.8057662331024966,0.3461899749777647,False
acs_income,accuracy,macro_dp,RF,adv_debias,1.0,0.804653361612961,0.345909065296697,False
acs_income,accuracy,macro_dp,RF,adv_debias,3.0,0.8046469731428717,0.34572187933992043,False
acs_income,accuracy,macro_dp,RF,adv_debias,10.0,0.8033424475506605,0.34732205735679356,False
acs_income,accuracy,macro_dp,RF,di_remover,0.0,0.8131985792042522,0.3338453179807839,False
acs_income,accuracy,macro_dp,RF,di_remover,0.05,0.8120946515728413,0.33235406732789785,False
acs_income,accuracy,macro_dp,RF,di_remover,0.1,0.8107824598165232,0.3313000495316091,True
acs_income,accuracy,macro_dp,RF,di_remover,0.3,0.8036720926072624,0.3322942380027559,False
acs_income,accuracy,macro_dp,RF,di_remover,1.0,0.7601768328520686,0.3074879899344212,False
acs_income,accuracy,macro_dp,RF,di_remover,3.0,0.7601768328520686,0.3074879899344212,False
acs_income,accuracy,macro_dp,RF,di_remover,10.0,0.7601768328520686,0.3074879899344212,False
acs_income,accuracy,macro_dp,RF,exp_gradient,0.0,0.8134285641274628,0.3360245434521777,False
acs_income,accuracy,macro_dp,RF,exp_gradient,0.05,0.8132139115324662,0.3313068651889961,True
acs_income,accuracy,macro_dp,RF,exp_gradient,0.1,0.8134285641274628,0.3360245434521777,False
acs_income,accuracy,macro_dp,RF,exp_gradient,0.3,0.7896097922469527,0.2587754696138337,True
acs_income,accuracy,macro_dp,RF,exp_gradient,1.0,0.778971711854445,0.3087723711996651,False
acs_income,accuracy,macro_dp,RF,lfr,0.0,0.8131985792042522,0.3338453179807839,False
acs_income,accuracy,macro_dp,RF,lfr,0.05,0.718509953236399,0.39358037867530693,False
acs_income,accuracy,macro_dp,RF,lfr,0.1,0.712871489535686,0.3994140715108901,False
acs_income,accuracy,macro_dp,RF,lfr,0.3,0.7010834845271254,0.39283036925250814,False
acs_income,accuracy,macro_dp,RF,lfr,1.0,0.6748792579153144,0.36489435999135705,False
acs_income,accuracy,macro_dp,RF,lfr,3.0,0.6324457618889429,0.3311684144061986,False
acs_income,accuracy,macro_dp,RF,lfr,10.0,0.5849347098356885,0.17722744677191787,True
acs_income,accuracy,macro_dp,RF,optim_preproc,0.0,0.8131985792042522,0.3338453179807839,False
acs_income,accuracy,macro_dp,RF,reweighing,0.0,0.8131985792042522,0.3338453179807839,False
acs_income,accuracy,macro_dp,RF,reweighing,0.05,0.8134886157463012,0.33365655632499747,True
acs_income,accuracy,macro_dp,RF,reweighing,0.1,0.8134886157463012,0.33365655632499747,True
acs_income,accuracy,macro_dp,RF,reweighing,0.3,0.8134886157463012,0.33365655632499747,True
acs_income,accuracy,macro_dp,RF,reweighing,1.0,0.8134886157463012,0.33365655632499747,True
acs_income,accuracy,macro_dp,RF,reweighing,3.0,0.8134886157463012,0.33365655632499747,True
acs_income,accuracy,macro_dp,RF,reweighing,10.0,0.8134886157463012,0.33365655632499747,True
acs_income,accuracy,macro_dp,RF,smote_nc,0.0,0.8131985792042522,0.3338453179807839,False
acs_income,accuracy,macro_dp,RF,smote_nc,0.05,0.8126670584928322,0.3389949739587902,False
acs_income,accuracy,macro_dp,RF,smote_nc,0.1,0.8126670584928322,0.3389949739587902,False
acs_income,accuracy,macro_dp,RF,smote_nc,0.3,0.8126670584928322,0.3389949739587902,False
acs_income,accuracy,macro_dp,RF,smote_nc,1.0,0.8126670584928322,0.3389949739587902,False
acs_income,accuracy,macro_dp,RF,smote_nc,3.0,0.8126670584928322,0.3389949739587902,False
acs_income,accuracy,macro_dp,RF,smote_nc,10.0,0.8126670584928322,0.3389949739587902,False
acs_income,accuracy,macro_eodds,RF,adv_debias,0.0,0.8076316663685381,0.37784175123205915,False
acs_income,accuracy,macro_eodds,RF,adv_debias,0.05,0.8078130989190708,0.3783514511390852,False
acs_income,accuracy,macro_eodds,RF,adv_debias,0.1,0.8073365190504178,0.35850471222322255,False
acs_income,accuracy,macro_eodds,RF,adv_debias,0.3,0.8057662331024966,0.3520410320330286,False
acs_income,accuracy,macro_eodds,RF,adv_debias,1.0,0.804653361612961,0.34749397464025356,True
acs_income,accuracy,macro_eodds,RF,adv_debias,3.0,0.8046469731428717,0.3535342999343879,False
acs_income,accuracy,macro_eodds,RF,adv_debias,10.0,0.8033424475506605,0.36641266618305685,False
acs_income,accuracy,macro_eodds,RF,di_remover,0.0,0.8131985792042522,0.3591357946077852,False
acs_income,accuracy,macro_eodds,RF,di_remover,0.05,0.8120946515728413,0.3588742492458271,False
acs_income,accuracy,macro_eodds,RF,di_remover,0.1,0.8107824598165232,0.3589414478266383,False
acs_income,accuracy,macro_eodds,RF,di_remover,0.3,0.8036720926072624,0.3645223358904361,False
acs_income,accuracy,macro_eodds,RF,di_remover,1.0,0.7601768328520686,0.3546793587694217,False
acs_income,accuracy,macro_eodds,RF,di_remover,3.0,0.7601768328520686,0.3546793587694217,False
acs_income,accuracy,macro_eodds,RF,di_remover,10.0,0.7601768328520686,0.3546793587694217,False
acs_income,accuracy,macro_eodds,RF,exp_gradient,0.0,0.8134285641274628,0.3633463303590375,False
acs_income,accuracy,macro_eodds,RF,exp_gradient,0.05,0.8132139115324662,0.35755098631371585,True
