dataset,target,model,metric,value,seed,mean,std,ci_lo,ci_hi,noise_std,target_form,n_classes,sample_n,random_state,notes
acs_income,high_income,ConstantPredictor,transparency_sparsity,0.0,18,,,,,-1.0,binary,2,30,18,
acs_income,high_income,ConstantPredictor,transparency_sparsity,0.0,19,,,,,-1.0,binary,2,30,19,
acs_income,high_income,ConstantPredictor,transparency_validity,0.0,-1,0.0,0.0,0.0,0.0,-1.0,binary,2,30,-1,
acs_income,high_income,ConstantPredictor,transparency_validity,0.0,0,,,,,-1.0,binary,2,30,0,
acs_income,high_income,ConstantPredictor,transparency_validity,0.0,1,,,,,-1.0,binary,2,30,1,
acs_income,high_income,ConstantPredictor,transparency_validity,0.0,2,,,,,-1.0,binary,2,30,2,
acs_income,high_income,ConstantPredictor,transparency_validity,0.0,3,,,,,-1.0,binary,2,30,3,
acs_income,high_income,ConstantPredictor,transparency_validity,0.0,4,,,,,-1.0,binary,2,30,4,
acs_income,high_income,ConstantPredictor,transparency_validity,0.0,5,,,,,-1.0,binary,2,30,5,
acs_income,high_income,ConstantPredictor,transparency_validity,0.0,6,,,,,-1.0,binary,2,30,6,
acs_income,high_income,ConstantPredictor,transparency_validity,0.0,7,,,,,-1.0,binary,2,30,7,
acs_income,high_income,ConstantPredictor,transparency_validity,0.0,8,,,,,-1.0,binary,2,30,8,
acs_income,high_income,ConstantPredictor,transparency_validity,0.0,9,,,,,-1.0,binary,2,30,9,
acs_income,high_income,ConstantPredictor,transparency_validity,0.0,10,,,,,-1.0,binary,2,30,10,
acs_income,high_income,ConstantPredictor,transparency_validity,0.0,11,,,,,-1.0,binary,2,30,11,
acs_income,high_income,ConstantPredictor,transparency_validity,0.0,12,,,,,-1.0,binary,2,30,12,
acs_income,high_income,ConstantPredictor,transparency_validity,0.0,13,,,,,-1.0,binary,2,30,13,
acs_income,high_income,ConstantPredictor,transparency_validity,0.0,14,,,,,-1.0,binary,2,30,14,
acs_income,high_income,ConstantPredictor,transparency_validity,0.0,15,,,,,-1.0,binary,2,30,15,
acs_income,high_income,ConstantPredictor,transparency_validity,0.0,16,,,,,-1.0,binary,2,30,16,
acs_income,high_income,ConstantPredictor,transparency_validity,0.0,17,,,,,-1.0,binary,2,30,17,
acs_income,high_income,ConstantPredictor,transparency_validity,0.0,18,,,,,-1.0,binary,2,30,18,
acs_income,high_income,ConstantPredictor,transparency_validity,0.0,19,,,,,-1.0,binary,2,30,19,
acs_income,high_income,ConstantPredictor,voice_enrichment,,-1,,,,,-1.0,binary,2,500,-1,
acs_income,high_income,ConstantPredictor,voice_enrichment,,0,,,,,-1.0,binary,2,500,0,
acs_income,high_income,ConstantPredictor,voice_enrichment,,1,,,,,-1.0,binary,2,500,1,
acs_income,high_income,ConstantPredictor,voice_enrichment,,2,,,,,-1.0,binary,2,500,2,
acs_income,high_income,ConstantPredictor,voice_enrichment,,3,,,,,-1.0,binary,2,500,3,
acs_income,high_income,ConstantPredictor,voice_enrichment,,4,,,,,-1.0,binary,2,500,4,
acs_income,high_income,ConstantPredictor,voice_enrichment,,5,,,,,-1.0,binary,2,500,5,
acs_income,high_income,ConstantPredictor,voice_enrichment,,6,,,,,-1.0,binary,2,500,6,
acs_income,high_income,ConstantPredictor,voice_enrichment,,7,,,,,-1.0,binary,2,500,7,
acs_income,high_income,ConstantPredictor,voice_enrichment,,8,,,,,-1.0,binary,2,500,8,
acs_income,high_income,ConstantPredictor,voice_enrichment,,9,,,,,-1.0,binary,2,500,9,
acs_income,high_income,ConstantPredictor,voice_enrichment,,10,,,,,-1.0,binary,2,500,10,
acs_income,high_income,ConstantPredictor,voice_enrichment,,11,,,,,-1.0,binary,2,500,11,
acs_income,high_income,ConstantPredictor,voice_enrichment,,12,,,,,-1.0,binary,2,500,12,
acs_income,high_income,ConstantPredictor,voice_enrichment,,13,,,,,-1.0,binary,2,500,13,
acs_income,high_income,ConstantPredictor,voice_enrichment,,14,,,,,-1.0,binary,2,500,14,
acs_income,high_income,ConstantPredictor,voice_enrichment,,15,,,,,-1.0,binary,2,500,15,
acs_income,high_income,ConstantPredictor,voice_enrichment,,16,,,,,-1.0,binary,2,500,16,
acs_income,high_income,ConstantPredictor,voice_enrichment,,17,,,,,-1.0,binary,2,500,17,
acs_income,high_income,ConstantPredictor,voice_enrichment,,18,,,,,-1.0,binary,2,500,18,
acs_income,high_income,ConstantPredictor,voice_enrichment,,19,,,,,-1.0,binary,2,500,19,
acs_income,high_income,ConstantPredictor,voice_representation,,-1,,,,,-1.0,binary,2,500,-1,
acs_income,high_income,ConstantPredictor,voice_representation,,0,,,,,-1.0,binary,2,500,0,
acs_income,high_income,ConstantPredictor,voice_representation,,1,,,,,-1.0,binary,2,500,1,
acs_income,high_income,ConstantPredictor,voice_representation,,2,,,,,-1.0,binary,2,500,2,
acs_income,high_income,ConstantPredictor,voice_representation,,3,,,,,-1.0,binary,2,500,3,
acs_income,high_income,ConstantPredictor,voice_representation,,4,,,,,-1.0,binary,2,500,4,
acs_income,high_income,ConstantPredictor,voice_representation,,5,,,,,-1.0,binary,2,500,5,
acs_income,high_income,ConstantPredictor,voice_representation,,6,,,,,-1.0,binary,2,500,6,
acs_income,high_income,ConstantPredictor,voice_representation,,7,,,,,-1.0,binary,2,500,7,
acs_income,high_income,ConstantPredictor,voice_representation,,8,,,,,-1.0,binary,2,500,8,
acs_income,high_income,ConstantPredictor,voice_representation,,9,,,,,-1.0,binary,2,500,9,
acs_income,high_income,ConstantPredictor,voice_representation,,10,,,,,-1.0,binary,2,500,10,
acs_income,high_income,ConstantPredictor,voice_representation,,11,,,,,-1.0,binary,2,500,11,
acs_income,high_income,ConstantPredictor,voice_representation,,12,,,,,-1.0,binary,2,500,12,
acs_income,high_income,ConstantPredictor,voice_representation,,13,,,,,-1.0,binary,2,500,13,
acs_income,high_income,ConstantPredictor,voice_representation,,14,,,,,-1.0,binary,2,500,14,
acs_income,high_income,ConstantPredictor,voice_representation,,15,,,,,-1.0,binary,2,500,15,
acs_income,high_income,ConstantPredictor,voice_representation,,16,,,,,-1.0,binary,2,500,16,
acs_income,high_income,ConstantPredictor,voice_representation,,17,,,,,-1.0,binary,2,500,17,
acs_income,high_income,ConstantPredictor,voice_representation,,18,,,,,-1.0,binary,2,500,18,
acs_income,high_income,ConstantPredictor,voice_representation,,19,,,,,-1.0,binary,2,500,19,
acs_income,high_income,GradientBoostingClassifier,actionable_sparsity,0.25049999999999994,-1,0.25049999999999994,0.07781227409605758,0.21600000000000003,0.2834999999999999,-1.0,binary,2,30,-1,
acs_income,high_income,GradientBoostingClassifier,actionable_sparsity,0.24,0,,,,,-1.0,binary,2,30,0,
