dataset,weighting_scheme,model_a,model_b,comparison_type,mean,ci_lo,ci_hi,cohens_d,effect_size_kind,p_value,n_bootstrap,notes,p_holm,rejected_holm
acs_income,equal_weights,RandomForestClassifier,KNeighborsClassifier,procedural_gap,-0.06103709159301827,-0.0780832643753022,-0.04380529342694602,-1.5376743908561787,cohens_d,0.0,10000,,0.0,True
acs_income,equal_weights,RandomForestClassifier,LogisticRegression,procedural_gap,-0.08808646571755817,-0.1003417988292487,-0.07459757090838026,-2.928327477495838,cohens_d,0.0,10000,,0.0,True
acs_income,equal_weights,RandomForestClassifier,MLPClassifier,procedural_gap,-0.007405884506049709,-0.022904415773681443,0.007533518874647694,-0.2068258426771052,cohens_d,0.343,10000,,1.0,False
acs_income,equal_weights,RandomForestClassifier,XGBClassifier,procedural_gap,-0.007967846173050658,-0.02156836653062265,0.0047138473143439,-0.25843503235983617,cohens_d,0.237,10000,,1.0,False
acs_income,equal_weights,XGBClassifier,GradientBoostingClassifier,procedural_gap,0.004595732499204424,-0.005712304804315705,0.014851915730943136,0.18805367146953914,cohens_d,0.382,10000,,1.0,False
acs_income,equal_weights,XGBClassifier,KNeighborsClassifier,procedural_gap,-0.05306924541996762,-0.06631865595262607,-0.03885686127977931,-1.6487023251661457,cohens_d,0.0,10000,,0.0,True
acs_income,equal_weights,,,rank_disagreement,0.3914285714285714,0.3,0.48571428571428565,,spearman_rho,0.0,10000,Spearman ρ between procedural-rank and statistical-rank vectors over trained models; H₀: ρ=1,0.0,True
acs_income,equal_weights,GradientBoostingClassifier,KNeighborsClassifier,separability_gap,3.3,2.4,4.05,1.6698935518150644,cohens_d,0.0,10000,model_b effectively deterministic across seeds (sd=0),0.0,True
acs_income,equal_weights,LogisticRegression,GradientBoostingClassifier,separability_gap,-1.4,-1.85,-0.9,-1.2780193008453873,cohens_d,0.0,10000,model_b effectively deterministic across seeds (sd=0),0.0,True
acs_income,equal_weights,LogisticRegression,KNeighborsClassifier,separability_gap,1.9,1.25,2.45,1.3470524357092653,cohens_d,0.0,10000,model_b effectively deterministic across seeds (sd=0),0.0,True
acs_income,equal_weights,LogisticRegression,MLPClassifier,separability_gap,1.95,1.3,2.6,1.2969696928485404,cohens_d,0.0,10000,model_b effectively deterministic across seeds (sd=0),0.0,True
acs_income,equal_weights,LogisticRegression,XGBClassifier,separability_gap,-2.15,-2.65,-1.6,-1.7539297882973273,cohens_d,0.0,10000,model_b effectively deterministic across seeds (sd=0),0.0,True
acs_income,equal_weights,MLPClassifier,GradientBoostingClassifier,separability_gap,-3.35,-4.2,-2.5,-1.7143634503723049,cohens_d,0.0,10000,model_b effectively deterministic across seeds (sd=0),0.0,True
acs_income,equal_weights,MLPClassifier,KNeighborsClassifier,separability_gap,-0.05,-1.0,0.8,-0.023108610291180585,cohens_d,0.9878,10000,model_b effectively deterministic across seeds (sd=0),1.0,False
acs_income,equal_weights,MLPClassifier,XGBClassifier,separability_gap,-4.1,-4.9,-3.3,-2.2031684837481573,cohens_d,0.0,10000,model_b effectively deterministic across seeds (sd=0),0.0,True
acs_income,equal_weights,RandomForestClassifier,GradientBoostingClassifier,separability_gap,-2.0,-2.75,-1.25,-1.1254628677422753,cohens_d,0.0,10000,model_b effectively deterministic across seeds (sd=0),0.0,True
acs_income,equal_weights,RandomForestClassifier,KNeighborsClassifier,separability_gap,1.3,0.55,2.0,0.7558785042367985,cohens_d,0.001,10000,model_b effectively deterministic across seeds (sd=0),0.178,False
acs_income,equal_weights,RandomForestClassifier,LogisticRegression,separability_gap,-0.6,-1.1,-0.1,-0.5251727826276826,cohens_d,0.0234,10000,model_b effectively deterministic across seeds (sd=0),1.0,False
acs_income,equal_weights,RandomForestClassifier,MLPClassifier,separability_gap,1.35,0.3,2.35,0.5700774231791529,cohens_d,0.0116,10000,model_b effectively deterministic across seeds (sd=0),1.0,False
acs_income,equal_weights,RandomForestClassifier,XGBClassifier,separability_gap,-2.75,-3.55,-1.9487500000000182,-1.456313396383857,cohens_d,0.0,10000,model_b effectively deterministic across seeds (sd=0),0.0,True
acs_income,equal_weights,XGBClassifier,GradientBoostingClassifier,separability_gap,0.75,0.1,1.45,0.46349123034100126,cohens_d,0.0306,10000,model_b effectively deterministic across seeds (sd=0),1.0,False
acs_income,equal_weights,XGBClassifier,KNeighborsClassifier,separability_gap,4.05,3.3,4.65,2.4732028000721233,cohens_d,0.0,10000,model_b effectively deterministic across seeds (sd=0),0.0,True
acs_income,rank_aggregate,GradientBoostingClassifier,KNeighborsClassifier,procedural_gap,-0.2177142857142857,-0.2571428571428572,-0.17485714285714288,-2.268864328962377,cohens_d,0.0,10000,,0.0,True
acs_income,rank_aggregate,LogisticRegression,GradientBoostingClassifier,procedural_gap,0.4962857142857143,0.4754285714285714,0.5194285714285716,9.540439792070472,cohens_d,0.0,10000,,0.0,True
acs_income,rank_aggregate,LogisticRegression,KNeighborsClassifier,procedural_gap,0.27857142857142864,0.23827857142857145,0.3222928571428571,2.8539713030129876,cohens_d,0.0,10000,,0.0,True
acs_income,rank_aggregate,LogisticRegression,MLPClassifier,procedural_gap,0.30485714285714277,0.2537142857142857,0.35285714285714287,2.625257156083786,cohens_d,0.0,10000,,0.0,True
acs_income,rank_aggregate,LogisticRegression,XGBClassifier,procedural_gap,0.4791428571428572,0.43685714285714294,0.5194285714285715,4.950621270288159,cohens_d,0.0,10000,,0.0,True
acs_income,rank_aggregate,MLPClassifier,GradientBoostingClassifier,procedural_gap,0.19142857142857145,0.14200000000000004,0.24142857142857146,1.635350038340159,cohens_d,0.0,10000,,0.0,True
acs_income,rank_aggregate,MLPClassifier,KNeighborsClassifier,procedural_gap,-0.026285714285714253,-0.08799999999999997,0.037428571428571485,-0.17726291277217082,cohens_d,0.4278,10000,,1.0,False
acs_income,rank_aggregate,MLPClassifier,XGBClassifier,procedural_gap,0.17428571428571432,0.11600000000000002,0.22942857142857145,1.3160431690237044,cohens_d,0.0,10000,,0.0,True
acs_income,rank_aggregate,RandomForestClassifier,GradientBoostingClassifier,procedural_gap,0.24800000000000005,0.21000000000000002,0.2851428571428572,2.7793596869393378,cohens_d,0.0,10000,,0.0,True
acs_income,rank_aggregate,RandomForestClassifier,KNeighborsClassifier,procedural_gap,0.030285714285714298,-0.003999999999999987,0.06342857142857145,0.38631517720643216,cohens_d,0.0808,10000,,1.0,False
acs_income,rank_aggregate,RandomForestClassifier,LogisticRegression,procedural_gap,-0.2482857142857143,-0.2857142857142857,-0.20999285714285715,-2.786730370893105,cohens_d,0.0,10000,,0.0,True
acs_income,rank_aggregate,RandomForestClassifier,MLPClassifier,procedural_gap,0.056571428571428564,-0.005428571428571458,0.11942857142857141,0.38957695004101556,cohens_d,0.0752,10000,,1.0,False
acs_income,rank_aggregate,RandomForestClassifier,XGBClassifier,procedural_gap,0.23085714285714293,0.18771428571428572,0.2728571428571429,2.3018463124512545,cohens_d,0.0,10000,,0.0,True
acs_income,rank_aggregate,XGBClassifier,GradientBoostingClassifier,procedural_gap,0.017142857142857147,-0.018571428571428555,0.05314285714285714,0.19997661229016156,cohens_d,0.357,10000,,1.0,False
acs_income,rank_aggregate,XGBClassifier,KNeighborsClassifier,procedural_gap,-0.20057142857142857,-0.24085714285714283,-0.15514285714285714,-1.9979947483483296,cohens_d,0.0,10000,,0.0,True
